seed,epsilon,accuracy,overlap
0,0.1,39.67,0.018000000000000002
0,0.5,44.46,0.039
0,1.0,46.43,0.044
0,5.0,48.61,0.048
0,Infinity,96.87,1.0
1,0.1,37.42,0.028999999999999998
1,0.5,47.2,0.019000000000000003
1,1.0,48.86,0.018000000000000002
1,5.0,50.81,0.017
1,Infinity,97.27,1.0
2,0.1,39.04,0.055
2,0.5,44.77,0.036000000000000004
2,1.0,46.93,0.027999999999999997
2,5.0,49.21,0.027999999999999997
2,Infinity,96.96,1.0
3,0.1,40.1,0.036000000000000004
3,0.5,46.35,0.040999999999999995
3,1.0,47.23,0.051000000000000004
3,5.0,48.86,0.054000000000000006
3,Infinity,95.88,1.0
4,0.1,40.58,0.029000000000000005
4,0.5,49.81,0.025
4,1.0,51.18,0.021
4,5.0,52.5,0.018000000000000002
4,Infinity,96.42,1.0
