epsilon,seed,credibility_cosine
0.1,0,0.9448954893889224
0.1,1,0.9531764294476723
0.1,2,0.9536041913180056
0.1,3,0.9488033993265823
0.1,4,0.9554163651698457
0.5,0,0.948055883124592
0.5,1,0.955207925949685
0.5,2,0.9541182607624829
0.5,3,0.9511469474946134
0.5,4,0.9554684925380961
1.0,0,0.9529360377559173
1.0,1,0.9587501373724235
1.0,2,0.9578323987521331
1.0,3,0.9529506573251164
1.0,4,0.9570523557318005
5.0,0,0.9579994490722206
5.0,1,0.9657018268129208
5.0,2,0.964109471391654
5.0,3,0.9583500297211324
5.0,4,0.9644695243327891
inf,0,0.996759756847603
inf,1,0.9968891756498531
inf,2,0.9959711624706663
inf,3,0.9962429321992348
inf,4,0.9969398347294482
