epsilon,seed_i,seed_j,spearman_rho
0.1,0,1,0.9861442680886692
0.1,0,2,0.9871847721444535
0.1,0,3,0.9851428103271473
0.1,0,4,0.984329287758738
0.1,1,2,0.9849173229581754
0.1,1,3,0.9846075175073326
0.1,1,4,0.9862006461564055
0.1,2,3,0.9854400900853791
0.1,2,4,0.9854871548150707
0.1,3,4,0.9861316925921113
0.5,0,1,0.9834339373057959
0.5,0,2,0.9856710558884951
0.5,0,3,0.9838866800838502
0.5,0,4,0.9827984140431194
0.5,1,2,0.9828983207603271
0.5,1,3,0.9836488413360807
0.5,1,4,0.9848560641036561
0.5,2,3,0.9828742654540403
0.5,2,4,0.9829302948941494
0.5,3,4,0.9846514694903514
1.0,0,1,0.9833360227464587
1.0,0,2,0.9858684289295191
1.0,0,3,0.9847451258122403
1.0,0,4,0.9825159509590499
1.0,1,2,0.9836053873925295
1.0,1,3,0.9846401390924627
1.0,1,4,0.9853020833488972
1.0,2,3,0.9828183107198515
1.0,2,4,0.982569963339315
1.0,3,4,0.984624052417658
5.0,0,1,0.9849028798136139
5.0,0,2,0.9864149027353823
5.0,0,3,0.9859227650354382
5.0,0,4,0.983539994810429
5.0,1,2,0.9854465147945116
5.0,1,3,0.9862007706662724
5.0,1,4,0.9865880461563059
5.0,2,3,0.984550541792235
5.0,2,4,0.9839543885494751
5.0,3,4,0.98575407906775
inf,0,1,0.9977371327768242
inf,0,2,0.997326001196291
inf,0,3,0.9974035957453486
inf,0,4,0.997286930000055
inf,1,2,0.9971765146500802
inf,1,3,0.9971204603079977
inf,1,4,0.9975994995699431
inf,2,3,0.9967587591446274
inf,2,4,0.9971758921007456
inf,3,4,0.9971403818867032
